t,date,rd
4692,2017-12-01,1
4693,2017-12-08,1
4694,2017-12-15,1
4695,2017-12-22,1
4696,2017-12-29,1
4697,2018-01-05,1
4698,2018-01-12,1
4699,2018-01-19,1
4700,2018-01-26,1
4701,2018-02-02,1
4702,2018-02-09,1
4703,2018-02-16,1
4704,2018-02-23,-1
4705,2018-03-02,-1
4706,2018-03-09,1
4707,2018-03-16,1
4708,2018-03-23,1
4709,2018-03-30,-1
4710,2018-04-06,1
4711,2018-04-13,1
4712,2018-04-20,1
4713,2018-04-27,1
4714,2018-05-04,1
4715,2018-05-11,1
4716,2018-05-18,1
4717,2018-05-25,1
4718,2018-06-01,1
4719,2018-06-08,1
4720,2018-06-15,1
4721,2018-06-22,1
4722,2018-06-29,1
4723,2018-07-06,1
4724,2018-07-13,1
4725,2018-07-20,1
4726,2018-07-27,1
4727,2018-08-03,1
4728,2018-08-10,1
4729,2018-08-17,1
4730,2018-08-24,1
4731,2018-08-31,1
4732,2018-09-07,1
4733,2018-09-14,1
4734,2018-09-21,1
4735,2018-09-28,1
4736,2018-10-05,1
4737,2018-10-12,1
4738,2018-10-19,1
4739,2018-10-26,1
4740,2018-11-02,1
4741,2018-11-09,1
4742,2018-11-16,1
4743,2018-11-23,1
4744,2018-11-30,1
4745,2018-12-07,1
4746,2018-12-14,1
4747,2018-12-21,1
4748,2018-12-28,1
4749,2019-01-04,1
4750,2019-01-11,1
4751,2019-01-18,1
4752,2019-01-25,1
4753,2019-02-01,1
4754,2019-02-08,1
4755,2019-02-15,1
4756,2019-02-22,1
4757,2019-03-01,1
4758,2019-03-08,1
4759,2019-03-15,1
4760,2019-03-22,-1
4761,2019-03-29,-1
4762,2019-04-05,-1
4763,2019-04-12,-1
4764,2019-04-19,-1
4765,2019-04-26,-1
4766,2019-05-03,-1
4767,2019-05-10,1
4768,2019-05-17,1
4769,2019-05-24,1
4770,2019-05-31,1
4771,2019-06-07,1
4772,2019-06-14,1
4773,2019-06-21,1
4774,2019-06-28,1
4775,2019-07-05,1
4776,2019-07-12,1
4777,2019-07-19,1
4778,2019-07-26,1
4779,2019-08-02,1
4780,2019-08-09,1
4781,2019-08-16,1
4782,2019-08-23,1
4783,2019-08-30,1
4784,2019-09-06,1
4785,2019-09-13,1
4786,2019-09-20,1
4787,2019-09-27,1
4788,2019-10-04,1
4789,2019-10-11,1
4790,2019-10-18,1
4791,2019-10-25,1
4792,2019-11-01,1
