month,weekly_actual,weekly_deconc,monthly_leg,universe_actual,universe_deconc
2010-03,0.006531909923356505,0.006706435452409787,0.0252096339009915,0.015870771912174002,0.015958034676700643
2010-04,-0.0022574682036083926,-0.0022136653291006114,-0.0223093760560067,-0.012283422129807547,-0.012261520692553656
2010-05,0.0046068851821110535,0.006251097219098778,-0.0074129379766412,-0.0014030263972650732,-0.000580920378771211
2010-06,-0.01220329339082249,-0.012897726446781665,-0.0006572145916408,-0.006430253991231645,-0.006777470519211233
2010-07,0.0011803625707751397,0.001356236639678432,0.0013854417484719,0.00128290215962352,0.001370839194075166
2010-08,0.003912835582295049,0.0039036796495743875,0.0064012949746155,0.005157065278455275,0.005152487312094944
2010-09,0.0011074321145683186,0.002483242197169,0.0088229003279623,0.004965166221265309,0.00565307126256565
2010-10,0.006762065036686193,0.007866553168046408,0.0046620802676727,0.005712072652179446,0.006264316717859554
2010-11,0.004924264594146743,0.00513244089527598,0.0126087432345839,0.008766503914365321,0.00887059206492994
2010-12,0.0023710159414442877,0.0024093021758866406,0.0227745526113219,0.012572784276383094,0.01259192739360427
2011-01,-0.00674032155039106,-0.006894180525464866,-0.0073694395980498,-0.007054880574220429,-0.0071318100617573325
2011-02,0.029742073372121425,0.02985705212925982,0.0306053812187387,0.030173727295430063,0.03023121667399926
2011-03,0.01307791189930807,0.012399681382907257,0.0397600513312433,0.026418981615275686,0.02607986635707528
2011-04,-0.010788641556182421,-0.010272843986413038,0.0113604630477308,0.00028591074577418926,0.0005438095306588807
2011-05,0.005515451117699799,0.005515451117699799,-0.0382493815090142,-0.0163669651956572,-0.0163669651956572
2011-06,-0.0008586305994661148,-0.0008363324312219422,-0.0019047074345573,-0.0013816690170117074,-0.0013705199328896212
2011-07,0.0068909554733689315,0.008552377572583092,-0.0026666327124666,0.002112161380451166,0.002942872430058246
2011-08,0.008388130453938158,0.008388130453938158,0.0,0.004194065226969079,0.004194065226969079
2011-09,-0.008461928723129897,-0.008461928723129897,0.0,-0.004230964361564948,-0.004230964361564948
2011-10,0.0007887730818325611,0.0007887730818325611,0.0,0.00039438654091628056,0.00039438654091628056
2011-11,0.008546591142004178,0.008546591142004178,0.017377143496502,0.01296186731925309,0.01296186731925309
2011-12,0.0034939016210795426,0.0034070299173780683,0.0147198091038141,0.009106855362446821,0.009063419510596084
