date,n_data,n_fired_base,book_r_base,book_r_cells,n_fired_cells,eq_base,eq_cells
1994-01-01,4,1,-0.000745258884965877,-0.000745258884965877,1,1.1143100682492046,1.1024882070635738
1994-02-01,4,1,-0.004119131430510181,-0.004119131430510181,1,1.1097200786237453,1.0979469132380912
1994-03-01,4,1,-0.00893684914081197,-0.00893684914081197,1,1.099802677692555,1.0881347273098623
1994-04-01,4,1,0.002051517116472501,0.002051517116472501,1,1.1020589417105835,1.0903670543279667
1994-05-01,4,1,0.0021789753825682268,0.0021789753825682268,1,1.10446030101471,1.0927429372973108
1994-06-01,4,1,-0.0018853197898115737,-0.0018853197898115737,1,1.1023780401521457,1.0906827674124473
1994-07-01,4,0,0.0,0.0,0,1.1023780401521457,1.0906827674124473
1994-08-01,4,1,0.0014647596070997415,0.0014647596070997415,1,1.1039927589771144,1.0922803554743128
1994-09-01,4,1,-0.0016864399520301332,-0.0016864399520301332,1,1.1021309414816234,1.0904382902440233
1994-10-01,4,1,-0.0015092386968801885,-0.0015092386968801885,1,1.1004675628157103,1.088792558579827
1994-11-01,4,1,-0.0031561137502440217,-0.0031561137502440217,1,1.0969943620090101,1.0853562054145298
1994-12-01,4,1,0.005525165315582503,0.005525165315582503,1,1.103055437209372,1.0913529778757385
1995-01-01,4,1,0.00895754970446,0.00895754970446,1,1.1129361111149498,1.1011288264201708
1995-02-01,4,1,0.005825655710491373,0.005825655710491373,1,1.1194196937260787,1.1075436238557923
1995-03-01,4,1,0.007482510392375574,0.007482510392375574,1,1.127795763217814,1.1158308305313025
1995-04-01,4,0,0.0,0.0,0,1.127795763217814,1.1158308305313025
1995-05-01,4,1,0.007416811439262372,0.007416811439262372,1,1.1361604117355995,1.1241067373994686
1995-06-01,4,2,0.008996976601273576,0.008996976601273576,2,1.1463824203752782,1.1342202994131858
1995-07-01,4,2,0.0033644303750462734,0.0033644303750462734,2,1.1502393442118077,1.1380363046405255
1995-08-01,4,2,0.008790756738387806,0.008790756738387806,2,1.1603508184776965,1.1480405049540743
1995-09-01,4,1,0.0017925946403579696,0.0017925946403579696,1,1.1624308571358344,1.1500984762101687
1995-10-01,4,1,0.005408117752007169,0.005408117752007169,1,1.1687174200897916,1.1563183441959173
1995-11-01,4,1,0.007992880291505078,0.007992880291505078,1,1.1780588385231658,1.1655606582999465
1995-12-01,4,1,-6.101827293883422e-05,-6.101827293883422e-05,1,1.177986955407419,1.1654895378015715
1996-01-01,4,0,0.0,0.0,0,1.177986955407419,1.1654895378015715
1996-02-01,4,1,-0.0009506727838161921,-0.0009506727838161921,1,1.1768670752692225,1.164381538618161
1996-03-01,4,1,-0.0365038560411311,-0.0365038560411311,1,1.1339068889740478,1.121877122555493
1996-04-01,4,1,-0.016599371915657246,-0.016599371915657246,1,1.1150847468062417,1.1032546669545271
1996-05-01,4,1,0.011412782316194137,0.011412782316194137,1,1.1278109662856497,1.1158458723078042
1996-06-01,4,2,-0.029528874899163254,-0.029528874899163254,2,1.0945079773522963,1.0828961991376793
1996-07-01,4,1,0.007223593708758302,0.007223593708758302,1,1.1024142582916843,1.0907186013090087
1996-08-01,4,1,0.004602523088066635,0.004602523088066635,1,1.1074881453680856,1.0957386588541171
1996-09-01,4,1,0.00984619487908961,0.00984619487908961,1,1.1183926894736613,1.106527515225747
1996-10-01,4,1,0.012192427223220115,0.012192427223220115,1,1.1320286109470503,1.1200187714256276
1996-11-01,4,0,0.0,0.0,0,1.1320286109470503,1.1200187714256276
1996-12-01,4,0,0.0,0.0,0,1.1320286109470503,1.1200187714256276
1997-01-01,4,1,0.010496332645976325,0.010496332645976325,1,1.143910759812313,1.1317748610202487
1997-02-01,4,1,-0.0019508009869863285,-0.0019508009869863285,1,1.141679217573047,1.1295669935043242
1997-03-01,4,2,-0.009526468963745954,-0.009526468963745954,2,1.1308030459402836,1.1188062085982333
1997-04-01,4,1,0.02263296375322349,0.02263296375322349,1,1.1563964702910847,1.1441281089643185
1997-05-01,4,1,0.012963785425344154,0.012963785425344154,1,1.1713877459985638,1.1589603402680366
1997-06-01,4,1,0.013979390384461776,0.013979390384461776,1,1.1877630325914525,1.1751618993047521
1997-07-01,4,1,0.0005268618487176968,0.0005268618487176968,1,1.1883888196186423,1.1757810472755625
1997-08-01,4,1,0.002636857771450729,0.002636857771450729,1,1.1915224319131588,1.1788814146675954
1997-09-01,4,1,0.0037725982369639643,0.0037725982369639643,1,1.1960175673390976,1.18332886061416
1997-10-01,4,1,-0.003217124353421086,-0.003217124353421086,1,1.1921698300960915,1.1795219445185723
1997-11-01,4,1,0.006243875942572308,0.006243875942572308,1,1.1996135906176888,1.186886733211688
1997-12-01,4,0,0.0,0.0,0,1.1996135906176888,1.186886733211688
1998-01-01,4,1,0.0156691164258429,0.0156691164258429,1,1.2184104756351009,1.2054841996186703
1998-02-01,4,0,0.0,0.0,0,1.2184104756351009,1.2054841996186703
1998-03-01,4,1,0.008211602574222487,0.008211602574222487,1,1.2284155782332857,1.2153831567754434
1998-04-01,4,1,-0.0008496673260204868,-0.0008496673260204868,1,1.2273718336536863,1.2143504854185356
1998-05-01,4,1,-6.766388192191997e-06,-6.766388192191997e-06,1,1.2273635287794036,1.21434226865175
1998-06-01,4,1,0.010869369084888836,0.010869369084888836,1,1.2407041959750387,1.227541402965107
1998-07-01,4,1,-0.017716024831831795,-0.017716024831831795,1,1.218723849630187,1.2057942489880755
1998-08-01,4,1,-0.012557927453425377,-0.012557927453425377,1,1.203419203940772,1.1906519722855258
1998-09-01,4,0,0.0,0.0,0,1.203419203940772,1.1906519722855258
1998-10-01,4,0,0.0,0.0,0,1.203419203940772,1.1906519722855258
1998-11-01,4,1,0.009965659760754253,0.009965659760754253,1,1.2154120702768034,1.2025176047347943
1998-12-01,4,1,0.01233561615058193,0.01233561615058193,1,1.2304049270405222,1.2173514003211199
1999-01-01,4,2,-0.0016461608851129073,-0.0016461608851129073,2,1.2283794825767778,1.2153474440624739
1999-02-01,4,2,0.0054171254623848475,0.0054171254623848475,2,1.2350337683493156,1.221931133647349
1999-03-01,4,2,0.0993234592037881,0.0993234592037881,2,1.3577015944552595,1.3432975607500102
1999-04-01,4,2,0.03222889683714103,0.03222889683714103,2,1.4014588190785797,1.3865905592570054
1999-05-01,4,2,-0.03524394196214667,-0.03524394196214667,2,1.3520658857966357,1.337721642061291
1999-06-01,4,2,0.05825714175843488,0.05825714175843488,2,1.4308333797722343,1.415653481396182
1999-07-01,4,1,-0.009685080992621248,-0.009685080992621248,1,1.4169756426021942,1.4019427627713739
1999-08-01,4,1,-0.00175519212950756,-0.00175519212950756,1,1.4144885781065948,1.3994820838681374
1999-09-01,4,1,-0.003444168809789344,-0.003444168809789344,1,1.4096168406640768,1.3946620313250198
1999-10-01,4,1,0.017497942323520588,0.017497942323520588,1,1.4342822348402802,1.419065747109949
1999-11-01,4,1,0.0067721063982746355,0.0067721063982746355,1,1.4439953467397737,1.4286758113355247
1999-12-01,4,2,0.00495709197352498,0.00495709197352498,2,1.4511533644829047,1.4357578887326652
2000-01-01,4,2,0.006764786242691306,0.03336885510028134,3,1.460970106798994,1.4836674856808714
2000-02-01,4,1,0.009601330578095868,0.009601330578095868,1,1.4749973637590874,1.4979126676788659
2000-03-01,4,1,0.003319558178073889,-0.03949028098938118,2,1.4798937033205912,1.438759675534674
2000-04-01,4,0,0.0,0.0,0,1.4798937033205912,1.438759675534674
2000-05-01,4,1,0.007663132367040804,-0.0014277767238682904,2,1.4912343246582873,1.4367054479587054
2000-06-01,4,1,0.001887876549290013,0.001887876549290013,1,1.4940495909693061,1.4394177704821438
2000-07-01,4,1,0.0021147318397827797,0.009295588314530673,2,1.4972091052095433,1.4527980054891654
2000-08-01,5,1,-0.002344055040189574,-0.004607659401339892,2,1.4936995646602593,1.4461040071009255
2000-09-01,5,1,-0.010614079901910678,-0.007798199832246877,2,1.477845318131506,1.4348269990753395
2000-10-01,5,0,0.0,0.0067374675953277615,1,1.477845318131506,1.444494099486511
2000-11-01,5,0,0.0,-0.003637755529793374,1,1.477845318131506,1.43923938308835
2000-12-01,5,0,0.0,0.0,0,1.477845318131506,1.43923938308835
2001-01-01,5,0,0.0,0.0,0,1.477845318131506,1.43923938308835
2001-02-01,5,0,0.0,0.0,0,1.477845318131506,1.43923938308835
2001-03-01,5,0,0.0,0.0,0,1.477845318131506,1.43923938308835
2001-04-01,5,0,0.0,0.0,0,1.477845318131506,1.43923938308835
2001-05-01,5,0,0.0,0.0,0,1.477845318131506,1.43923938308835
2001-06-01,5,0,0.0,0.0,0,1.477845318131506,1.43923938308835
2001-07-01,5,0,0.0,0.0,0,1.477845318131506,1.43923938308835
2001-08-01,5,0,0.0,0.0,0,1.477845318131506,1.43923938308835
2001-09-01,5,0,0.0,0.0,0,1.477845318131506,1.43923938308835
2001-10-01,5,0,0.0,0.0,0,1.477845318131506,1.43923938308835
2001-11-01,5,0,0.0,0.0,0,1.477845318131506,1.43923938308835
2001-12-01,5,0,0.0,0.0,0,1.477845318131506,1.43923938308835
2002-01-01,5,1,-0.005806764433186551,-0.005806764433186551,1,1.469263818500429,1.4308820590277913
2002-02-01,5,1,0.01921569635757172,0.01921569635757172,1,1.4974967459058997,1.4583774541975665
2002-03-01,5,1,0.040250446128491824,0.040250446128491824,1,1.5577716580045768,1.5170777973527527
2002-04-01,5,1,-0.0008935281943899031,-0.0008935281943899031,1,1.5563797451077281,1.515722245567735
2002-05-01,5,1,-0.01219146727538245,-0.01219146727538245,1,1.5374051923771792,1.4972433674123269
2002-06-01,5,0,0.0,0.0,0,1.5374051923771792,1.4972433674123269
2002-07-01,5,1,-0.006369426751592355,-0.006369426751592355,1,1.527612802616815,1.4877067854542867
2002-08-01,5,1,0.00618420651084497,0.00618420651084497,1,1.5370598756568081,1.4969070714431214
2002-09-01,5,1,0.004786215791999826,0.004786215791999826,1,1.544416575906926,1.5040715917076186
2002-10-01,5,1,-0.00130882277560469,-0.00130882277560469,1,1.5423952083173575,1.5021030285522516
2002-11-01,5,1,-0.0007528116282315533,-0.0007528116282315533,1,1.5412340752692075,1.5009722279255555
2002-12-01,5,0,0.0,0.0,0,1.5412340752692075,1.5009722279255555
2003-01-01,5,1,-0.013129576710126822,-0.013129576710126822,1,1.5209983242496992,1.481265097919237
2003-02-01,5,0,0.0,0.0,0,1.5209983242496992,1.481265097919237
2003-03-01,5,1,0.01025241250605342,0.01025241250605342,1,1.536592226490923,1.4964516387339246
2003-04-01,5,1,0.01032100041571633,0.01032100041571633,1,1.5524513954993224,1.511896516719397
2003-05-01,5,2,0.025092652175674024,0.025092652175674024,2,1.5914065183862267,1.54983401013905
2003-06-01,5,1,0.000919028340080974,0.000919028340080974,1,1.5928690660772133,1.5512583515167893
2003-07-01,5,1,-0.0006065246740685426,-0.0006065246740685426,1,1.591902951686077,1.5503174750507394
2003-08-01,5,2,-0.011905813182704561,-0.011905813182704561,2,1.5729500525383067,1.531859684818903
2003-09-01,5,2,0.003648419393642621,0.003648419393642621,2,1.5786888340152185,1.5374485514013354
2003-10-01,5,2,-0.0011837627550152386,-0.0011837627550152386,2,1.576820040971753,1.5356285770684344
2003-11-01,5,1,0.005855795790075247,0.005855795790075247,1,1.5860535771293818,1.544620904425151
2003-12-01,5,3,0.04595490765411978,0.04595490765411978,3,1.6589405228008487,1.6156038154486319
2004-01-01,5,2,-0.010196892400401425,-0.010196892400401425,2,1.6420244847911827,1.599129677180824
2004-02-01,5,2,-0.003690974319339402,-0.003690974319339402,2,1.635963814586092,1.593227330609056
2004-03-01,5,1,-0.01427498165353156,-0.01427498165353156,1,1.612610461147034,1.5704840396947066
2004-04-01,5,2,0.017597520254297193,0.017597520254297193,2,1.6409884063993605,1.598120664392285
2004-05-01,5,2,0.02700221810882013,0.02700221810882013,2,1.6852987332630012,1.641273467136418
2004-06-01,5,2,-0.02171319258767368,-0.02171319258767368,2,1.6487055172998992,1.605636180255446
2004-07-01,5,0,0.0,0.026226111493335758,1,1.6487055172998992,1.647745773736559
2004-08-01,5,0,0.0,0.0,0,1.6487055172998992,1.647745773736559
2004-09-01,5,1,-8.052538339029525e-05,-8.052538339029525e-05,1,1.648572754656021,1.647613088376399
2004-10-01,5,1,0.009260568738196051,0.009260568738196051,1,1.6638394759704305,1.6628709226352603
2004-11-01,5,2,0.017676131831518883,0.017676131831518883,2,1.6932497218941691,1.6922640482825604
2004-12-01,5,2,-0.014113990080623173,-0.014113990080623173,2,1.6693512121153369,1.668379450291305
2005-01-01,5,2,-0.0006011223462947468,0.023140568664124596,3,1.6683477277979202,1.7069866995185854
2005-02-01,5,1,0.005750953638082734,0.005750953638082734,1,1.6779423182326865,1.7168035008883404
2005-03-01,5,2,-0.00833401164850105,0.013299115749248025,3,1.6639583274070224,1.7396354693653686
2005-04-01,5,1,0.002378846302482751,0.002378846302482751,1,1.66791662852166,1.7437737947693364
2005-05-01,5,1,0.004068642427945824,0.004068642427945824,1,1.6747027848827398,1.7508685868154752
2005-06-01,5,2,-0.0026943134571254302,-0.0026943134571254302,2,1.6701906106327449,1.7461511980203601
2005-07-01,5,1,0.0003321769865165525,0.0003321769865165525,1,1.6707454095166931,1.7467312292633208
2005-08-01,5,1,0.00026954838393491445,0.02593140177044062,2,1.6711957562417952,1.7920264185543235
2005-09-01,5,1,-0.0055403288958496555,-0.0055403288958496555,1,1.6619367821028674,1.7820980028054811
2005-10-01,5,1,0.007619383200778529,-0.009548793496321806,2,1.6745997153011778,1.7650811169864842
2005-11-01,5,2,0.023042039273381887,0.018430519511974785,3,1.7131859077083416,1.7976124789533217
2005-12-01,5,1,0.002640107125595259,0.01861410429148469,2,1.7177089020307517,1.8310734251122331
