date,n_fired_base,book_r_base,pp,book_r_base_ppfb
1995-09-01,1,0.0017925946403579,0.017090756738387804,0.0017925946403579
1995-10-01,1,0.0054081177520071,0.007450927973691305,0.0054081177520071
1995-11-01,1,0.007992880291505,0.012010092295088098,0.007992880291505
1995-12-01,1,-6.101827293883422e-05,0.016044467079069844,-6.101827293883422e-05
1996-01-01,0,0.0,0.010562027259707181,0.010562027259707181
1996-02-01,1,-0.0009506727838161,0.01652064816420383,-0.0009506727838161
1996-03-01,1,-0.0365038560411311,-0.012069855952133028,-0.0365038560411311
1996-04-01,1,-0.0165993719156572,-0.005466228913279303,-0.0165993719156572
1996-05-01,1,0.0114127823161941,0.003964927959765006,0.0114127823161941
1996-06-01,2,-0.0295288748991632,-0.0032028931581127955,-0.0295288748991632
1996-07-01,1,0.0072235937087583,-0.007078576953151537,0.0072235937087583
1996-08-01,1,0.0046025230880666,0.016905393099532907,0.0046025230880666
1996-09-01,1,0.0098461948790896,0.00074562709323459,0.0098461948790896
1996-10-01,1,0.0121924272232201,0.01699279518370231,0.0121924272232201
1996-11-01,0,0.0,0.019221839952878912,0.019221839952878912
1996-12-01,0,0.0,-0.002961914410543792,-0.002961914410543792
1997-01-01,1,0.0104963326459763,-0.004894309028546876,0.0104963326459763
1997-02-01,1,-0.0019508009869863,0.009777054476962253,-0.0019508009869863
1997-03-01,2,-0.0095264689637459,-0.0012214175573138854,-0.0095264689637459
1997-04-01,1,0.0226329637532234,-0.016023857377801022,0.0226329637532234
1997-05-01,1,0.0129637854253441,0.028776713753223482,0.0129637854253441
1997-06-01,1,0.0139793903844617,0.018416476144488957,0.0139793903844617
1997-07-01,1,0.0005268618487176,0.010095018439202753,0.0005268618487176
1997-08-01,1,0.0026368577714507,0.0006242977461535901,0.0026368577714507
1997-09-01,1,0.0037725982369639,0.0061131694998457844,0.0037725982369639
1997-10-01,1,-0.003217124353421,0.011322669186396381,-0.003217124353421
1997-11-01,1,0.0062438759425723,-0.01168827819957492,0.0062438759425723
1997-12-01,0,0.0,-0.003843522265896748,-0.003843522265896748
1998-01-01,1,0.0156691164258429,0.008831746558334942,0.0156691164258429
1998-02-01,0,0.0,0.02167298240522432,0.02167298240522432
1998-03-01,1,0.0082116025742224,0.012840956342817867,0.0082116025742224
1998-04-01,1,-0.0008496673260204,0.021738968393431535,-0.0008496673260204
1998-05-01,1,-6.766388192191997e-06,-0.006034028797881982,-6.766388192191997e-06
1998-06-01,1,0.0108693690848888,-0.0005554425308900634,0.0108693690848888
1998-07-01,1,-0.0177160248318317,0.0156733645186788,-0.0177160248318317
1998-08-01,1,-0.0125579274534253,-0.02155067619237602,-0.0125579274534253
1998-09-01,0,0.0,0.004593480997278876,0.004593480997278876
1998-10-01,0,0.0,0.01655305496625769,0.01655305496625769
1998-11-01,1,0.0099656597607542,0.022277651935570915,0.0099656597607542
1998-12-01,1,0.0123356161505819,0.012967036879398328,0.0123356161505819
1999-01-01,2,-0.0016461608851129,0.008602710899440398,-0.0016461608851129
1999-02-01,2,0.0054171254623848,-0.00400509808318054,0.0054171254623848
1999-03-01,2,0.0993234592037881,0.0019136746882793194,0.0993234592037881
1999-04-01,2,0.032228896837141,0.011663764444570476,0.032228896837141
1999-05-01,2,-0.0352439419621466,-0.00999479334240023,-0.0352439419621466
1999-06-01,2,0.0582571417584348,-0.02120629277117778,0.0582571417584348
1999-07-01,1,-0.0096850809926212,0.011661257038062586,-0.0096850809926212
1999-08-01,1,-0.0017551921295075,-0.010391330992621255,-0.0017551921295075
1999-09-01,1,-0.0034441688097893,0.012638792954798559,-0.0034441688097893
1999-10-01,1,0.0174979423235205,0.036004274498760855,0.0174979423235205
1999-11-01,1,0.0067721063982746,0.005508918095618552,0.0067721063982746
1999-12-01,2,0.0049570919735249,-0.004347816809916479,0.0049570919735249
2000-01-01,2,0.0067647862426913,-0.004734400013308065,0.0067647862426913
2000-02-01,1,0.0096013305780958,0.01211686957602465,0.0096013305780958
2000-03-01,1,0.0033195581780738,0.006454682027371233,0.0033195581780738
2000-04-01,0,0.0,0.0042286345184002075,0.0042286345184002075
2000-05-01,1,0.0076631323670408,-0.016385557621401644,0.0076631323670408
2000-06-01,1,0.00188787654929,0.02618529145794991,0.00188787654929
2000-07-01,1,0.0021147318397827,0.002879214268588247,0.0021147318397827
2000-08-01,1,-0.0023440550401895,0.0019026253650348815,-0.0023440550401895
2000-09-01,1,-0.0106140799019106,0.0030661033178676,-0.0106140799019106
