date,t,P,n_cycles,conf,R,ecv,quality,pattern,analogue_dir,analogue_conf,markov_dir,markov_up,comp_dir,realized,ret_next,strong
1984-07-01,198,63,5,high,,,,-1-1+1-2,0,,1,0.5,0,1,0.002873563218390718,False
1984-08-01,199,63,5,high,,,,-1+1-2+1,0,,1,0.5641025641025641,0,-1,-0.022922636103151817,False
1984-09-01,200,63,5,high,,,,+1-2+1-1,0,,-1,0.3023255813953488,0,0,0.0,False
1984-10-01,201,63,5,high,,,,-2+1-1+1,0,,1,0.55,0,0,0.0,False
1984-11-01,202,63,5,high,,,,+1-1+1+1,0,,1,0.55,0,-1,-0.058651026392961825,False
1984-12-01,203,63,5,high,,,,-1+1+1-2,0,,1,0.5217391304347826,0,-1,-0.052959501557632405,False
1985-01-01,204,63,5,high,,,,+1+1-2-2,0,,1,0.5217391304347826,0,-1,-0.016447368421052655,False
1985-02-01,205,63,5,high,,,,+1-2-2-1,0,,-1,0.29545454545454547,0,1,0.01672240802675584,False
1985-03-01,206,63,5,high,,,,-2-2-1+1,0,,1,0.5116279069767442,0,1,0.06907894736842102,False
1985-04-01,207,63,5,high,,,,-2-1+1+2,0,,1,0.6551724137931034,0,-1,-0.027692307692307683,False
1985-05-01,208,63,5,high,,,,-1+1+2-1,0,,-1,0.29545454545454547,0,1,0.0031645569620253333,False
1985-06-01,209,63,5,high,,,,+1+2-1+1,0,,1,0.5116279069767442,0,1,0.003154574132492094,False
1985-07-01,210,63,5,high,,,,+2-1+1+1,0,,1,0.5227272727272727,0,1,0.037735849056603765,False
1985-08-01,211,63,5,high,,,,-1+1+1+2,0,,1,0.6333333333333333,0,-1,-0.012121212121212088,False
1985-09-01,212,63,5,high,,,,+1+1+2-1,0,,-1,0.32608695652173914,0,0,0.0,False
1985-10-01,213,63,5,high,,,,+1+2-1+1,0,,1,0.5333333333333333,0,0,0.0,False
1985-11-01,214,63,5,high,,,,+2-1+1+1,0,,1,0.5434782608695652,0,-1,-0.006134969325153339,False
1985-12-01,215,63,5,high,,,,-1+1+1-1,0,,-1,0.32608695652173914,0,1,0.06481481481481488,False
1986-01-01,216,63,5,high,,,,+1+1-1+3,0,,1,0.75,0,-1,-0.017391304347826098,False
1986-02-01,217,63,5,high,,,,+1-1+3-1,0,,-1,0.3191489361702128,0,1,0.017699115044247815,False
1986-03-01,218,63,5,high,,,,-1+3-1+1,0,,1,0.5208333333333334,0,-1,-0.01449275362318836,False
1986-04-01,219,63,5,high,,,,+3-1+1-1,0,,-1,0.3333333333333333,0,1,0.0117647058823529,False
1986-05-01,220,63,5,high,,,,-1+1-1+1,0,,1,0.5208333333333334,0,-1,-0.005813953488372103,False
1986-06-01,221,63,5,high,,,,+1-1+1-1,0,,-1,0.3469387755102041,0,1,0.020467836257309857,False
1986-07-01,222,63,5,high,,,,-1+1-1+2,0,,1,0.6129032258064516,0,1,0.0773638968481376,False
1986-08-01,223,63,5,high,,,,+1-1+2+3,0,,1,0.72,0,1,0.11170212765957444,False
1986-09-01,224,63,5,high,,,,-1+2+3+3,0,,1,0.72,0,1,0.009569377990430672,False
1986-10-01,225,63,5,high,,,,+2+3+3+1,0,,1,0.5,0,-1,-0.06635071090047395,False
1986-11-01,226,63,5,high,,,,+3+3+1-3,0,,0,,0,-1,-0.005076142131979711,False
1986-12-01,227,63,5,high,,,,+3+1-3-1,0,,-1,0.37254901960784315,0,1,0.03826530612244894,False
